id;sipac;inicio;defesa;enviado_biblioteca;entrega_diploma
1;task-force transmitter Sapatos;2022-07-04;back-end transform;false;true
2;redundant;2022-07-04;Personal Account;true;true
3;Salada mobile Organic;2022-07-04;Creative Prático;false;true
4;Omani Loan;2022-07-04;innovative;false;true
5;virtual HDD SSL;2022-07-03;Analyst;true;false
6;Laos Centralized;2022-07-04;Cambridgeshire Noruega;true;false
7;withdrawal Inteligente;2022-07-04;Representative deposit;true;true
8;Turismo demand-driven innovative;2022-07-04;Madeira Madeira Ruble;true;false
9;SCSI solution-oriented;2022-07-04;Avon;true;false
10;Sabonete;2022-07-04;Re-contextualized Chief Travessa;false;false
